18/08/2020	11:00
######	######	######	######
Input parameter	Value		
Start phase (Rad)	0.0000000000
Phase step (Rad)	1.0000000000
End phase (Rad)	50000.0000000000
Pulse 1 start time after trigger (ms)	0.1200000000
Pulse 2 start time after trigger (ms)	0.7200000000
Loop averages	1.0000000000
Sweep rate (Hz/s)	0.0000000000
k_eff  (m^-1)	0.0000000000
Pi pulse (us)	4.5000000000
Pulse separation  (ms)	3.0000000000
######	######	######	######	######
Laser phase (deg)	Average1	Standard Deviation	Average Population	Best fit
12574.470	0.345	NaN	0.345	0.334
12586.767	0.353	NaN	0.353	0.332
12577.040	0.315	NaN	0.315	0.332
12580.998	0.369	NaN	0.369	0.335
12578.192	0.291	NaN	0.291	0.327
12577.782	0.290	NaN	0.290	0.329
12580.628	0.373	NaN	0.373	0.333
12575.042	0.353	NaN	0.353	0.336
12578.934	0.305	NaN	0.305	0.326
12579.893	0.362	NaN	0.362	0.329
12581.511	0.362	NaN	0.362	0.337
12581.046	0.366	NaN	0.366	0.335
12578.063	0.285	NaN	0.285	0.327
12579.474	0.364	NaN	0.364	0.327
12579.659	0.346	NaN	0.346	0.328
12579.683	0.348	NaN	0.348	0.328
12582.575	0.299	NaN	0.299	0.336
12577.917	0.287	NaN	0.287	0.328
12580.094	0.374	NaN	0.374	0.330
12584.486	0.318	NaN	0.318	0.327
12576.501	0.348	NaN	0.348	0.335
12581.236	0.364	NaN	0.364	0.336
12579.071	0.311	NaN	0.311	0.326
12572.417	0.293	NaN	0.293	0.326
12585.509	0.371	NaN	0.371	0.327
12580.008	0.362	NaN	0.362	0.330
12584.404	0.324	NaN	0.324	0.327
12579.688	0.345	NaN	0.345	0.328
12577.534	0.300	NaN	0.300	0.330
12586.892	0.325	NaN	0.325	0.333
12574.221	0.327	NaN	0.327	0.332
12582.866	0.295	NaN	0.295	0.335
12586.656	0.350	NaN	0.350	0.332
12579.218	0.318	NaN	0.318	0.327
12575.486	0.375	NaN	0.375	0.337
12579.706	0.360	NaN	0.360	0.328
12580.819	0.378	NaN	0.378	0.334
12577.824	0.292	NaN	0.292	0.328
12581.684	0.339	NaN	0.339	0.337
12577.282	0.321	NaN	0.321	0.331
12585.759	0.383	NaN	0.383	0.327
12573.512	0.296	NaN	0.296	0.329
12582.429	0.304	NaN	0.304	0.336
12583.647	0.297	NaN	0.297	0.331
12582.270	0.328	NaN	0.328	0.337
12581.746	0.336	NaN	0.336	0.337
12583.118	0.293	NaN	0.293	0.334
12580.370	0.381	NaN	0.381	0.332
12585.742	0.382	NaN	0.382	0.327
12584.738	0.335	NaN	0.335	0.326
12582.623	0.291	NaN	0.291	0.336
12574.944	0.367	NaN	0.367	0.336
12573.304	0.288	NaN	0.288	0.328
12577.887	0.291	NaN	0.291	0.328
12582.606	0.293	NaN	0.293	0.336
12582.536	0.303	NaN	0.303	0.336
12580.209	0.382	NaN	0.382	0.331
12576.696	0.335	NaN	0.335	0.334
12576.294	0.372	NaN	0.372	0.336
12578.694	0.288	NaN	0.288	0.326
12583.420	0.288	NaN	0.288	0.332
12579.556	0.352	NaN	0.352	0.328
12584.222	0.323	NaN	0.323	0.328
12575.960	0.378	NaN	0.378	0.337
12579.252	0.345	NaN	0.345	0.327
12579.284	0.343	NaN	0.343	0.327
12578.760	0.310	NaN	0.310	0.326
12583.594	0.293	NaN	0.293	0.331
12576.404	0.351	NaN	0.351	0.335
12578.391	0.297	NaN	0.297	0.326
12577.187	0.309	NaN	0.309	0.332
12577.168	0.309	NaN	0.309	0.332
12578.840	0.312	NaN	0.312	0.326
12585.170	0.365	NaN	0.365	0.326
12582.199	0.328	NaN	0.328	0.337
12578.501	0.287	NaN	0.287	0.326
12582.389	0.296	NaN	0.296	0.336
12580.810	0.378	NaN	0.378	0.334
12578.293	0.286	NaN	0.286	0.327
12582.115	0.326	NaN	0.326	0.337
12577.949	0.295	NaN	0.295	0.328
12576.894	0.341	NaN	0.341	0.333
12579.365	0.355	NaN	0.355	0.327
12584.801	0.369	NaN	0.369	0.326
12579.780	0.349	NaN	0.349	0.329
12581.174	0.367	NaN	0.367	0.336
12579.069	0.304	NaN	0.304	0.326
12584.621	0.334	NaN	0.334	0.327
12578.749	0.311	NaN	0.311	0.326
12580.069	0.373	NaN	0.373	0.330
12582.529	0.307	NaN	0.307	0.336
12581.348	0.366	NaN	0.366	0.336
12581.575	0.353	NaN	0.353	0.337
12585.135	0.370	NaN	0.370	0.326
12576.733	0.330	NaN	0.330	0.334
12580.203	0.373	NaN	0.373	0.331
12577.732	0.293	NaN	0.293	0.329
12580.279	0.372	NaN	0.372	0.331
12584.892	0.351	NaN	0.351	0.326
12577.665	0.293	NaN	0.293	0.329
12581.698	0.347	NaN	0.347	0.337
12585.952	0.376	NaN	0.376	0.328
12580.806	0.380	NaN	0.380	0.334
12580.895	0.375	NaN	0.375	0.334
12581.732	0.343	NaN	0.343	0.337
12575.441	0.370	NaN	0.370	0.337
12577.780	0.293	NaN	0.293	0.329
12579.539	0.344	NaN	0.344	0.328
12577.953	0.291	NaN	0.291	0.328
12582.680	0.307	NaN	0.307	0.336
12578.445	0.290	NaN	0.290	0.326
12579.686	0.348	NaN	0.348	0.328
12582.666	0.291	NaN	0.291	0.336
12580.604	0.377	NaN	0.377	0.333
12581.703	0.347	NaN	0.347	0.337
12574.568	0.346	NaN	0.346	0.334
12582.558	0.298	NaN	0.298	0.336
12582.235	0.312	NaN	0.312	0.337
12582.046	0.316	NaN	0.316	0.337
12584.753	0.339	NaN	0.339	0.326
12577.388	0.303	NaN	0.303	0.331
12584.477	0.331	NaN	0.331	0.327
12578.713	0.299	NaN	0.299	0.326
12579.681	0.347	NaN	0.347	0.328
12583.496	0.295	NaN	0.295	0.332
12580.783	0.383	NaN	0.383	0.334
12587.434	0.319	NaN	0.319	0.336
12577.594	0.302	NaN	0.302	0.329
12585.548	0.376	NaN	0.376	0.327
12576.592	0.331	NaN	0.331	0.335
12588.896	0.314	NaN	0.314	0.336
12581.708	0.344	NaN	0.344	0.337
12580.587	0.377	NaN	0.377	0.333
12578.781	0.309	NaN	0.309	0.326
12579.122	0.325	NaN	0.325	0.326
12583.263	0.286	NaN	0.286	0.333
12587.436	0.318	NaN	0.318	0.336
12581.228	0.367	NaN	0.367	0.336
12578.553	0.288	NaN	0.288	0.326
12575.439	0.377	NaN	0.377	0.337
12576.480	0.360	NaN	0.360	0.335
12587.176	0.325	NaN	0.325	0.334
12583.593	0.292	NaN	0.292	0.331
12574.452	0.356	NaN	0.356	0.334
12582.535	0.299	NaN	0.299	0.336
12578.451	0.286	NaN	0.286	0.326
12580.017	0.354	NaN	0.354	0.330
12574.113	0.333	NaN	0.333	0.332
12577.504	0.303	NaN	0.303	0.330
12583.274	0.289	NaN	0.289	0.333
12574.802	0.358	NaN	0.358	0.335
12578.754	0.306	NaN	0.306	0.326
12583.558	0.294	NaN	0.294	0.331
12578.276	0.291	NaN	0.291	0.327
12579.380	0.332	NaN	0.332	0.327
12579.169	0.322	NaN	0.322	0.327
12580.482	0.375	NaN	0.375	0.332
12582.495	0.302	NaN	0.302	0.336
12578.390	0.296	NaN	0.296	0.326
12580.564	0.382	NaN	0.382	0.333
12582.435	0.319	NaN	0.319	0.336
12576.377	0.372	NaN	0.372	0.336
12585.473	0.371	NaN	0.371	0.327
12576.892	0.320	NaN	0.320	0.333
12582.757	0.294	NaN	0.294	0.335
12580.766	0.382	NaN	0.382	0.334
12580.105	0.358	NaN	0.358	0.330
12578.620	0.305	NaN	0.305	0.326
12582.148	0.303	NaN	0.303	0.337
12578.137	0.287	NaN	0.287	0.327
12583.259	0.291	NaN	0.291	0.333
